id,full_name,email,phone,job_title,department,hire_date,salary,manager
bb52cf52-1aa7-4dc5-adf7-f10327988a09,Philippe Poulain,chantal48@ifrance.com,+33 (0)1 67 85 61 14,ingénieur biomédical biomédicale,Finance,2020-06-14,9173.9,Charles Bonnin
da4859ae-b5b5-4719-9f19-1c9fcc0ecbbe,Marie Lesage,tristanraymond@potier.fr,+33 (0)1 44 51 07 53,gestionnaire actif/passif,Direction,2021-10-19,9723.58,David-Aimé Lebon
66b853ec-67bc-4bfd-ad25-c447a63e3aba,Eugène-Jacques Dias,sweiss@wanadoo.fr,01 49 86 24 61,chargé de pharmacovigilance,Finance,2024-02-25,8279.66,Andrée Riou
59d94884-6cb7-4cfa-ab23-c8fa9c70bd03,Monique-Bernadette Imbert,pauline90@hotmail.fr,+33 2 94 17 43 18,consultant en solutions intégrées,Finance,2018-08-18,6893.45,Joséphine Carlier
5b16eb61-e34f-4ca9-9aaf-70fdaec68ab6,Aurélie Monnier,lefortmathilde@goncalves.org,+33 (0)4 48 02 18 22,microtechnicien,Informatique,2021-11-12,4914.18,Nicolas du Becker
f1febc13-2a33-4797-b7d6-108b6e28c21e,Noémi Rey de Buisson,cohenadelaide@hotmail.fr,+33 (0)5 07 01 27 90,chef de produit technique en informatique,Marketing,2022-01-04,5740.61,Noël Deschamps-Perret
e1866f6d-5a95-492b-8020-4ba580f02eeb,Nath-Lucie Chauvin,vda-silva@bouygtel.fr,04 43 49 43 53,ingénieur production en mécanique,Informatique,2016-03-18,6951.12,Lorraine-Simone Lemonnier
e29e5735-a4ac-4017-8ce4-6315d40a51d3,Chantal Carre,ujacob@denis.fr,04 18 29 33 40,technicien thermicien thermicienne,Informatique,2020-03-10,5558.69,Marianne Huet
1ff0651c-0125-4d40-9622-e1dd7b84a214,Sébastien Morvan,margueritegomes@allain.fr,+33 6 52 18 75 91,éducateur canin canine,Finance,2020-05-05,3048.16,Jacqueline-Emmanuelle Lacroix
ad2f7c7d-6cb0-4380-9ef2-943d4c1b0591,Éric Sauvage,fernandeszacharie@delahaye.fr,+33 2 61 20 81 71,assistant en architecture,Direction,2019-09-15,3972.7,Caroline-Geneviève Maury
e5874a5e-3ef8-461c-99f7-7e068528ab31,Eugène Rodriguez-Courtois,maryseseguin@fabre.fr,+33 (0)8 03 98 99 61,électromécanicien,Support,2018-12-24,4130.53,Claire Le Daniel
58a18634-ab34-439b-8550-0cfdb0ea4a69,Valentine-Sylvie Guyon,fischerphilippine@fouquet.org,04 10 07 79 20,ingénieur biomédical biomédicale,Informatique,2018-01-26,3211.74,Laurent Olivier
c96d7974-c652-4a74-a8e0-6fbd37a8d3e0,Claude Bourdon,descampsantoine@thibault.fr,04 58 74 73 76,pédologue,Marketing,2024-03-14,9801.2,Monique Michaud du Lebrun
a3553bbb-3b8f-480b-a965-bc73751a2b6c,Robert Clerc,virginie38@gmail.com,+33 5 50 33 47 71,électronicien automobile,Informatique,2023-10-27,5615.86,Luc Collin-David
a6a999ed-2d91-405e-86b9-07ad9519a378,Éric Paul,amaillot@orange.fr,+33 (0)4 34 36 50 94,éducateur sportif sportive,Informatique,2024-08-25,5608.05,Roger Fleury du Lebrun
