nom,email,phone,role,department,position,location,address
Ahmed Khelifi,ahmedkhelifi@teamwill.com,21620111222,Employee,Informatique,Développeur,,
Sonia Trabelsi,soniatrabelsi@teamwillgroup.com,21620111333,Responsable,Direction,Chef de projet,,
Maroua Ben Amor,marouabenamor@teamwill.com,21620111444,Employee,RH,Analyste RH,,
Ali Bensalah,alibensalah@teamwillgroup.com,21620111555,Employee,Informatique,Data Scientist,,
Nadia Gharbi,nadiagharbi@teamwill.com,21620111666,Employee,Finance,Comptable,,
Khaled Mansour,khaledmansour@teamwillgroup.com,21620111777,Employee,Support,Technicien Support,,
Houda Ayari,houdaayari@teamwill.com,21620111888,Employee,Informatique,Ingénieur QA,,
Amine Cherif,aminecherif@teamwillgroup.com,21620111999,Employee,Direction,Consultant,,
Salma Fekih,salmafekih@teamwill.com,21620112000,Employee,Marketing,Chargée Marketing,,
Hichem Dridi,hichemdridi@teamwillgroup.com,21620112111,Employee,Informatique,Architecte Logiciel,,
Syrine Khadhraoui,syrinekhadhraoui@teamwill.com,21620112222,Responsable,RH,Responsable RH,,
Mohamed Jaziri,mohamedjaziri@teamwillgroup.com,21620112333,Employee,Finance,Auditeur,,
Fatma Ayari,fatmaayari@teamwill.com,21620112444,Employee,Support,Support Technique,,
Hatem Jlassi,hatemjlassi@teamwillgroup.com,21620112555,Responsable,Direction,Directeur Projet,,
Imen Rekik,imenrekik@teamwill.com,21620112666,Employee,Marketing,UX Designer,,
